Component Name,Licenses,Licenses Links,Package Type,Component Id,Package Id,Version
com.fasterxml:classmate,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.fasterxml:classmate:1.7.0,gav://com.fasterxml:classmate,1.7.0
com.github.ben-manes.caffeine:caffeine,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.github.ben-manes.caffeine:caffeine:3.1.8,gav://com.github.ben-manes.caffeine:caffeine,3.1.8
com.google.errorprone:error_prone_annotations,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.google.errorprone:error_prone_annotations:2.21.1,gav://com.google.errorprone:error_prone_annotations,2.21.1
com.h2database:h2,"EPL-1.0,MPL-2.0","http://www.eclipse.org/legal/epl-v10.html,http://opensource.org/licenses/MPL-2.0",maven,com.h2database:h2:2.3.232,gav://com.h2database:h2,2.3.232
com.mysql:mysql-connector-j,"Apache-2.0,LicenseRef-jfrog-protobuf","http://licenses.nuget.org/Apache-2.0,http://protobuf.googlecode.com/svn/trunk/COPYING.txt",maven,com.mysql:mysql-connector-j:9.1.0,gav://com.mysql:mysql-connector-j,9.1.0
com.sun.istack:istack-commons-runtime,BSD-3-Clause,http://opensource.org/licenses/BSD-3-Clause,maven,com.sun.istack:istack-commons-runtime:4.1.2,gav://com.sun.istack:istack-commons-runtime,4.1.2
com.zaxxer:HikariCP,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,com.zaxxer:HikariCP:5.1.0,gav://com.zaxxer:HikariCP,5.1.0
debian:bullseye:adduser,GPL-2.0,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,deb,debian:bullseye:adduser:3.118,deb://debian:bullseye:adduser,3.118
debian:bullseye:apt,GPL-2.0,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,deb,debian:bullseye:apt:2.2.4,deb://debian:bullseye:apt,2.2.4
debian:bullseye:base-files,GPL-3.0-only,http://www.gnu.org/licenses/gpl-3.0-standalone.html,deb,debian:bullseye:base-files:11.1+deb11u3,deb://debian:bullseye:base-files,11.1+deb11u3
debian:bullseye:base-passwd,GPL-2.0,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,deb,debian:bullseye:base-passwd:3.5.51,deb://debian:bullseye:base-passwd,3.5.51
debian:bullseye:bash,BSD,,deb,debian:bullseye:bash:5.1-2+b3,deb://debian:bullseye:bash,5.1-2+b3
debian:bullseye:bsdutils,"BSD,BSD-3-Clause,BSD-4-Clause-UC,MIT","http://opensource.org/licenses/BSD-3-Clause,http://www.freebsd.org/copyright/license.html,http://www.opensource.org/licenses/MIT",deb,debian:bullseye:bsdutils:1:2.36.1-8+deb11u1,deb://debian:bullseye:bsdutils,1:2.36.1-8+deb11u1
debian:bullseye:ca-certificates,MPL-2.0,http://opensource.org/licenses/MPL-2.0,deb,debian:bullseye:ca-certificates:20210119,deb://debian:bullseye:ca-certificates,20210119
debian:bullseye:coreutils,"BSD,ISC",http://www.opensource.org/licenses/ISC,deb,debian:bullseye:coreutils:8.32-4+b1,deb://debian:bullseye:coreutils,8.32-4+b1
debian:bullseye:dash,BSD,,deb,debian:bullseye:dash:0.5.11+git20200708+dd9ef66-5,deb://debian:bullseye:dash,0.5.11+git20200708+dd9ef66-5
debian:bullseye:debconf,BSD-2-Clause,http://opensource.org/licenses/BSD-2-Clause,deb,debian:bullseye:debconf:1.5.77,deb://debian:bullseye:debconf,1.5.77
debian:bullseye:debian-archive-keyring,GPL-2.0,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,deb,debian:bullseye:debian-archive-keyring:2021.1.1,deb://debian:bullseye:debian-archive-keyring,2021.1.1
debian:bullseye:debianutils,GPL-2.0,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,deb,debian:bullseye:debianutils:4.11.2,deb://debian:bullseye:debianutils,4.11.2
debian:bullseye:diffutils,GPL-3.0,http://www.gnu.org/licenses/gpl-3.0-standalone.html,deb,debian:bullseye:diffutils:1:3.7-5,deb://debian:bullseye:diffutils,1:3.7-5
debian:bullseye:dpkg,BSD-2-Clause,http://opensource.org/licenses/BSD-2-Clause,deb,debian:bullseye:dpkg:1.20.9,deb://debian:bullseye:dpkg,1.20.9
debian:bullseye:e2fsprogs,BSD,,deb,debian:bullseye:e2fsprogs:1.46.2-2,deb://debian:bullseye:e2fsprogs,1.46.2-2
debian:bullseye:findutils,GPL-3.0,http://www.gnu.org/licenses/gpl-3.0-standalone.html,deb,debian:bullseye:findutils:4.8.0-1,deb://debian:bullseye:findutils,4.8.0-1
debian:bullseye:gcc-10-base,"BSD,BSD-2-Clause,MIT,ZLIB","http://opensource.org/licenses/BSD-2-Clause,http://www.opensource.org/licenses/MIT",deb,debian:bullseye:gcc-10-base:10.2.1-6,deb://debian:bullseye:gcc-10-base,10.2.1-6
debian:bullseye:gcc-9-base,"BSD,BSD-2-Clause,MIT,ZLIB","http://opensource.org/licenses/BSD-2-Clause,http://www.opensource.org/licenses/MIT",deb,debian:bullseye:gcc-9-base:9.3.0-22,deb://debian:bullseye:gcc-9-base,9.3.0-22
debian:bullseye:gpgv,"BSD-3-Clause,MIT","http://opensource.org/licenses/BSD-3-Clause,http://www.opensource.org/licenses/MIT",deb,debian:bullseye:gpgv:2.2.27-2+deb11u1,deb://debian:bullseye:gpgv,2.2.27-2+deb11u1
debian:bullseye:grep,GPL-3.0,http://www.gnu.org/licenses/gpl-3.0-standalone.html,deb,debian:bullseye:grep:3.6-1,deb://debian:bullseye:grep,3.6-1
debian:bullseye:gzip,GPL-3.0,http://www.gnu.org/licenses/gpl-3.0-standalone.html,deb,debian:bullseye:gzip:1.10-4,deb://debian:bullseye:gzip,1.10-4
debian:bullseye:hostname,GPL-3.0,http://www.gnu.org/licenses/gpl-3.0-standalone.html,deb,debian:bullseye:hostname:3.23,deb://debian:bullseye:hostname,3.23
debian:bullseye:init-system-helpers,BSD,,deb,debian:bullseye:init-system-helpers:1.60,deb://debian:bullseye:init-system-helpers,1.60
debian:bullseye:libacl1,LGPL-3.0,http://www.gnu.org/licenses/lgpl-3.0-standalone.html,deb,debian:bullseye:libacl1:2.2.53-10,deb://debian:bullseye:libacl1,2.2.53-10
debian:bullseye:libapt-pkg6.0,GPL-2.0,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,deb,debian:bullseye:libapt-pkg6.0:2.2.4,deb://debian:bullseye:libapt-pkg6.0,2.2.4
debian:bullseye:libattr1,LGPL-3.0,http://www.gnu.org/licenses/lgpl-3.0-standalone.html,deb,debian:bullseye:libattr1:1:2.4.48-6,deb://debian:bullseye:libattr1,1:2.4.48-6
debian:bullseye:libaudit-common,LGPL-2.1,http://www.gnu.org/licenses/old-licenses/lgpl-2.1-standalone.html,deb,debian:bullseye:libaudit-common:1:3.0-2,deb://debian:bullseye:libaudit-common,1:3.0-2
debian:bullseye:libaudit1,LGPL-2.1,http://www.gnu.org/licenses/old-licenses/lgpl-2.1-standalone.html,deb,debian:bullseye:libaudit1:1:3.0-2,deb://debian:bullseye:libaudit1,1:3.0-2
debian:bullseye:libblkid1,"BSD,BSD-3-Clause,BSD-4-Clause-UC,MIT","http://opensource.org/licenses/BSD-3-Clause,http://www.freebsd.org/copyright/license.html,http://www.opensource.org/licenses/MIT",deb,debian:bullseye:libblkid1:2.36.1-8+deb11u1,deb://debian:bullseye:libblkid1,2.36.1-8+deb11u1
debian:bullseye:libbz2-1.0,BSD,,deb,debian:bullseye:libbz2-1.0:1.0.8-4,deb://debian:bullseye:libbz2-1.0,1.0.8-4
debian:bullseye:libc-bin,"BSD-3-Clause,BSD-4-Clause-UC,IETF,Intel,ISC,MIT,MIT-CMU,Spencer-94","http://opensource.org/licenses/BSD-3-Clause,http://www.freebsd.org/copyright/license.html,http://opensource.org/licenses/Intel,http://www.opensource.org/licenses/ISC,http://www.opensource.org/licenses/MIT,https://fedoraproject.org/wiki/Licensing:MIT?rd=Licensing/MIT#CMU_Style,https://fedoraproject.org/wiki/Licensing/Henry_Spencer_Reg-Ex_Library_License",deb,debian:bullseye:libc-bin:2.31-13+deb11u3,deb://debian:bullseye:libc-bin,2.31-13+deb11u3
debian:bullseye:libc6,"BSD-3-Clause,BSD-4-Clause-UC,IETF,Intel,ISC,MIT,MIT-CMU,Spencer-94","http://opensource.org/licenses/BSD-3-Clause,http://www.freebsd.org/copyright/license.html,http://opensource.org/licenses/Intel,http://www.opensource.org/licenses/ISC,http://www.opensource.org/licenses/MIT,https://fedoraproject.org/wiki/Licensing:MIT?rd=Licensing/MIT#CMU_Style,https://fedoraproject.org/wiki/Licensing/Henry_Spencer_Reg-Ex_Library_License",deb,debian:bullseye:libc6:2.31-13+deb11u3,deb://debian:bullseye:libc6,2.31-13+deb11u3
debian:bullseye:libcap-ng0,LGPL-2.1,http://www.gnu.org/licenses/old-licenses/lgpl-2.1-standalone.html,deb,debian:bullseye:libcap-ng0:0.7.9-2.2+b1,deb://debian:bullseye:libcap-ng0,0.7.9-2.2+b1
debian:bullseye:libcom-err2,BSD,,deb,debian:bullseye:libcom-err2:1.46.2-2,deb://debian:bullseye:libcom-err2,1.46.2-2
debian:bullseye:libcrypt1,LGPL-2.1,http://www.gnu.org/licenses/old-licenses/lgpl-2.1-standalone.html,deb,debian:bullseye:libcrypt1:1:4.4.18-4,deb://debian:bullseye:libcrypt1,1:4.4.18-4
debian:bullseye:libdb5.3,BSD,,deb,debian:bullseye:libdb5.3:5.3.28+dfsg1-0.8,deb://debian:bullseye:libdb5.3,5.3.28+dfsg1-0.8
debian:bullseye:libdebconfclient0,BSD-2-Clause,http://opensource.org/licenses/BSD-2-Clause,deb,debian:bullseye:libdebconfclient0:0.260,deb://debian:bullseye:libdebconfclient0,0.260
debian:bullseye:libext2fs2,BSD,,deb,debian:bullseye:libext2fs2:1.46.2-2,deb://debian:bullseye:libext2fs2,1.46.2-2
debian:bullseye:libffi7,MIT,http://www.opensource.org/licenses/MIT,deb,debian:bullseye:libffi7:3.3-6,deb://debian:bullseye:libffi7,3.3-6
debian:bullseye:libgcc-s1,"BSD,BSD-2-Clause,MIT,ZLIB","http://opensource.org/licenses/BSD-2-Clause,http://www.opensource.org/licenses/MIT",deb,debian:bullseye:libgcc-s1:10.2.1-6,deb://debian:bullseye:libgcc-s1,10.2.1-6
debian:bullseye:libgcrypt20,"BSD,MIT,X11","http://www.opensource.org/licenses/MIT,http://www.xfree86.org/3.3.6/COPYRIGHT2.html#3",deb,debian:bullseye:libgcrypt20:1.8.7-6,deb://debian:bullseye:libgcrypt20,1.8.7-6
debian:bullseye:libgmp10,LGPL-3.0,http://www.gnu.org/licenses/lgpl-3.0-standalone.html,deb,debian:bullseye:libgmp10:2:6.2.1+dfsg-1+deb11u1,deb://debian:bullseye:libgmp10,2:6.2.1+dfsg-1+deb11u1
debian:bullseye:libgnutls30,"Apache-2.0,BSD,BSD-2-Clause,ISC,MIT","http://licenses.nuget.org/Apache-2.0,http://opensource.org/licenses/BSD-2-Clause,http://www.opensource.org/licenses/ISC,http://www.opensource.org/licenses/MIT",deb,debian:bullseye:libgnutls30:3.7.1-5,deb://debian:bullseye:libgnutls30,3.7.1-5
debian:bullseye:libgpg-error0,BSD,,deb,debian:bullseye:libgpg-error0:1.38-2,deb://debian:bullseye:libgpg-error0,1.38-2
debian:bullseye:libgssapi-krb5-2,"BSD,BSD-2-Clause,ISC,MIT,Xnet","http://opensource.org/licenses/BSD-2-Clause,http://www.opensource.org/licenses/ISC,http://www.opensource.org/licenses/MIT,http://opensource.org/licenses/Xnet",deb,debian:bullseye:libgssapi-krb5-2:1.18.3-6+deb11u1,deb://debian:bullseye:libgssapi-krb5-2,1.18.3-6+deb11u1
debian:bullseye:libhogweed6,LGPL-3.0,http://www.gnu.org/licenses/lgpl-3.0-standalone.html,deb,debian:bullseye:libhogweed6:3.7.3-1,deb://debian:bullseye:libhogweed6,3.7.3-1
debian:bullseye:libidn2-0,LGPL-3.0,http://www.gnu.org/licenses/lgpl-3.0-standalone.html,deb,debian:bullseye:libidn2-0:2.3.0-5,deb://debian:bullseye:libidn2-0,2.3.0-5
debian:bullseye:libk5crypto3,"BSD,BSD-2-Clause,ISC,MIT,Xnet","http://opensource.org/licenses/BSD-2-Clause,http://www.opensource.org/licenses/ISC,http://www.opensource.org/licenses/MIT,http://opensource.org/licenses/Xnet",deb,debian:bullseye:libk5crypto3:1.18.3-6+deb11u1,deb://debian:bullseye:libk5crypto3,1.18.3-6+deb11u1
debian:bullseye:libkeyutils1,LGPL-3.0,http://www.gnu.org/licenses/lgpl-3.0-standalone.html,deb,debian:bullseye:libkeyutils1:1.6.1-2,deb://debian:bullseye:libkeyutils1,1.6.1-2
debian:bullseye:libkrb5-3,"BSD,BSD-2-Clause,ISC,MIT,Xnet","http://opensource.org/licenses/BSD-2-Clause,http://www.opensource.org/licenses/ISC,http://www.opensource.org/licenses/MIT,http://opensource.org/licenses/Xnet",deb,debian:bullseye:libkrb5-3:1.18.3-6+deb11u1,deb://debian:bullseye:libkrb5-3,1.18.3-6+deb11u1
debian:bullseye:libkrb5support0,"BSD,BSD-2-Clause,ISC,MIT,Xnet","http://opensource.org/licenses/BSD-2-Clause,http://www.opensource.org/licenses/ISC,http://www.opensource.org/licenses/MIT,http://opensource.org/licenses/Xnet",deb,debian:bullseye:libkrb5support0:1.18.3-6+deb11u1,deb://debian:bullseye:libkrb5support0,1.18.3-6+deb11u1
debian:bullseye:liblz4-1,BSD-2-Clause,http://opensource.org/licenses/BSD-2-Clause,deb,debian:bullseye:liblz4-1:1.9.3-2,deb://debian:bullseye:liblz4-1,1.9.3-2
debian:bullseye:liblzma5,"FSFAP,FSFULLR","http://www.gnu.org/prep/maintain/html_node/License-Notices-for-Other-Files.html,https://fedoraproject.org/wiki/Licensing/FSF_Unlimited_License#License_Retention_Variant",deb,debian:bullseye:liblzma5:5.2.5-2,deb://debian:bullseye:liblzma5,5.2.5-2
debian:bullseye:libmount1,"BSD,BSD-3-Clause,BSD-4-Clause-UC,MIT","http://opensource.org/licenses/BSD-3-Clause,http://www.freebsd.org/copyright/license.html,http://www.opensource.org/licenses/MIT",deb,debian:bullseye:libmount1:2.36.1-8+deb11u1,deb://debian:bullseye:libmount1,2.36.1-8+deb11u1
debian:bullseye:libnettle8,LGPL-3.0,http://www.gnu.org/licenses/lgpl-3.0-standalone.html,deb,debian:bullseye:libnettle8:3.7.3-1,deb://debian:bullseye:libnettle8,3.7.3-1
debian:bullseye:libnsl2,"BSD,MIT",http://www.opensource.org/licenses/MIT,deb,debian:bullseye:libnsl2:1.3.0-2,deb://debian:bullseye:libnsl2,1.3.0-2
debian:bullseye:libp11-kit0,"BSD,ISC",http://www.opensource.org/licenses/ISC,deb,debian:bullseye:libp11-kit0:0.23.22-1,deb://debian:bullseye:libp11-kit0,0.23.22-1
debian:bullseye:libpam-modules,GPL-3.0,http://www.gnu.org/licenses/gpl-3.0-standalone.html,deb,debian:bullseye:libpam-modules:1.4.0-9+deb11u1,deb://debian:bullseye:libpam-modules,1.4.0-9+deb11u1
debian:bullseye:libpam-modules-bin,GPL-3.0,http://www.gnu.org/licenses/gpl-3.0-standalone.html,deb,debian:bullseye:libpam-modules-bin:1.4.0-9+deb11u1,deb://debian:bullseye:libpam-modules-bin,1.4.0-9+deb11u1
debian:bullseye:libpam-runtime,GPL-3.0,http://www.gnu.org/licenses/gpl-3.0-standalone.html,deb,debian:bullseye:libpam-runtime:1.4.0-9+deb11u1,deb://debian:bullseye:libpam-runtime,1.4.0-9+deb11u1
debian:bullseye:libpam0g,GPL-3.0,http://www.gnu.org/licenses/gpl-3.0-standalone.html,deb,debian:bullseye:libpam0g:1.4.0-9+deb11u1,deb://debian:bullseye:libpam0g,1.4.0-9+deb11u1
debian:bullseye:libpcre2-8-0,BSD,,deb,debian:bullseye:libpcre2-8-0:10.36-2,deb://debian:bullseye:libpcre2-8-0,10.36-2
debian:bullseye:libpcre3,BSD,,deb,debian:bullseye:libpcre3:2:8.39-13,deb://debian:bullseye:libpcre3,2:8.39-13
debian:bullseye:libseccomp2,LGPL-2.1,http://www.gnu.org/licenses/old-licenses/lgpl-2.1-standalone.html,deb,debian:bullseye:libseccomp2:2.5.1-1+deb11u1,deb://debian:bullseye:libseccomp2,2.5.1-1+deb11u1
debian:bullseye:libselinux1,LGPL-2.1,http://www.gnu.org/licenses/old-licenses/lgpl-2.1-standalone.html,deb,debian:bullseye:libselinux1:3.1-3,deb://debian:bullseye:libselinux1,3.1-3
debian:bullseye:libsemanage-common,LGPL-2.1,http://www.gnu.org/licenses/old-licenses/lgpl-2.1-standalone.html,deb,debian:bullseye:libsemanage-common:3.1-1,deb://debian:bullseye:libsemanage-common,3.1-1
debian:bullseye:libsemanage1,LGPL-2.1,http://www.gnu.org/licenses/old-licenses/lgpl-2.1-standalone.html,deb,debian:bullseye:libsemanage1:3.1-1+b2,deb://debian:bullseye:libsemanage1,3.1-1+b2
debian:bullseye:libsepol1,LGPL-2.1,http://www.gnu.org/licenses/old-licenses/lgpl-2.1-standalone.html,deb,debian:bullseye:libsepol1:3.1-1,deb://debian:bullseye:libsepol1,3.1-1
debian:bullseye:libsmartcols1,"BSD,BSD-3-Clause,BSD-4-Clause-UC,MIT","http://opensource.org/licenses/BSD-3-Clause,http://www.freebsd.org/copyright/license.html,http://www.opensource.org/licenses/MIT",deb,debian:bullseye:libsmartcols1:2.36.1-8+deb11u1,deb://debian:bullseye:libsmartcols1,2.36.1-8+deb11u1
debian:bullseye:libss2,BSD,,deb,debian:bullseye:libss2:1.46.2-2,deb://debian:bullseye:libss2,1.46.2-2
debian:bullseye:libssl1.1,OpenSSL,http://www.openssl.org/source/license.html,deb,debian:bullseye:libssl1.1:1.1.1n-0+deb11u1,deb://debian:bullseye:libssl1.1,1.1.1n-0+deb11u1
debian:bullseye:libstdc++6,"BSD,BSD-2-Clause,MIT,ZLIB","http://opensource.org/licenses/BSD-2-Clause,http://www.opensource.org/licenses/MIT",deb,debian:bullseye:libstdc++6:10.2.1-6,deb://debian:bullseye:libstdc++6,10.2.1-6
debian:bullseye:libsystemd0,CC0-1.0,http://creativecommons.org/publicdomain/zero/1.0/,deb,debian:bullseye:libsystemd0:247.3-7,deb://debian:bullseye:libsystemd0,247.3-7
debian:bullseye:libtasn1-6,LGPL-2.1,http://www.gnu.org/licenses/old-licenses/lgpl-2.1-standalone.html,deb,debian:bullseye:libtasn1-6:4.16.0-2,deb://debian:bullseye:libtasn1-6,4.16.0-2
debian:bullseye:libtinfo6,"BSD,MIT,X11","http://www.opensource.org/licenses/MIT,http://www.xfree86.org/3.3.6/COPYRIGHT2.html#3",deb,debian:bullseye:libtinfo6:6.2+20201114-2,deb://debian:bullseye:libtinfo6,6.2+20201114-2
debian:bullseye:libtirpc-common,"BSD,BSD-2-Clause",http://opensource.org/licenses/BSD-2-Clause,deb,debian:bullseye:libtirpc-common:1.3.1-1,deb://debian:bullseye:libtirpc-common,1.3.1-1
debian:bullseye:libtirpc3,"BSD,BSD-2-Clause",http://opensource.org/licenses/BSD-2-Clause,deb,debian:bullseye:libtirpc3:1.3.1-1,deb://debian:bullseye:libtirpc3,1.3.1-1
debian:bullseye:libudev1,CC0-1.0,http://creativecommons.org/publicdomain/zero/1.0/,deb,debian:bullseye:libudev1:247.3-7,deb://debian:bullseye:libudev1,247.3-7
debian:bullseye:libunistring2,MIT,http://www.opensource.org/licenses/MIT,deb,debian:bullseye:libunistring2:0.9.10-4,deb://debian:bullseye:libunistring2,0.9.10-4
debian:bullseye:libuuid1,"BSD,BSD-3-Clause,BSD-4-Clause-UC,MIT","http://opensource.org/licenses/BSD-3-Clause,http://www.freebsd.org/copyright/license.html,http://www.opensource.org/licenses/MIT",deb,debian:bullseye:libuuid1:2.36.1-8+deb11u1,deb://debian:bullseye:libuuid1,2.36.1-8+deb11u1
debian:bullseye:libxxhash0,BSD-2-Clause,http://opensource.org/licenses/BSD-2-Clause,deb,debian:bullseye:libxxhash0:0.8.0-2,deb://debian:bullseye:libxxhash0,0.8.0-2
debian:bullseye:libzstd1,"BSD,ZLIB",,deb,debian:bullseye:libzstd1:1.4.8+dfsg-2.1,deb://debian:bullseye:libzstd1,1.4.8+dfsg-2.1
debian:bullseye:login,"BSD-3-Clause,TCP-wrappers","http://opensource.org/licenses/BSD-3-Clause,http://rc.quest.com/topics/openssh/license.php#tcpwrappers",deb,debian:bullseye:login:1:4.8.1-1,deb://debian:bullseye:login,1:4.8.1-1
debian:bullseye:logsave,BSD,,deb,debian:bullseye:logsave:1.46.2-2,deb://debian:bullseye:logsave,1.46.2-2
debian:bullseye:lsb-base,BSD,,deb,debian:bullseye:lsb-base:11.1.0,deb://debian:bullseye:lsb-base,11.1.0
debian:bullseye:mawk,GPL-2.0,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,deb,debian:bullseye:mawk:1.3.4.20200120-2,deb://debian:bullseye:mawk,1.3.4.20200120-2
debian:bullseye:mount,"BSD,BSD-3-Clause,BSD-4-Clause-UC,MIT","http://opensource.org/licenses/BSD-3-Clause,http://www.freebsd.org/copyright/license.html,http://www.opensource.org/licenses/MIT",deb,debian:bullseye:mount:2.36.1-8+deb11u1,deb://debian:bullseye:mount,2.36.1-8+deb11u1
debian:bullseye:ncurses-base,"BSD,MIT,X11","http://www.opensource.org/licenses/MIT,http://www.xfree86.org/3.3.6/COPYRIGHT2.html#3",deb,debian:bullseye:ncurses-base:6.2+20201114-2,deb://debian:bullseye:ncurses-base,6.2+20201114-2
debian:bullseye:ncurses-bin,"BSD,MIT,X11","http://www.opensource.org/licenses/MIT,http://www.xfree86.org/3.3.6/COPYRIGHT2.html#3",deb,debian:bullseye:ncurses-bin:6.2+20201114-2,deb://debian:bullseye:ncurses-bin,6.2+20201114-2
debian:bullseye:openssl,OpenSSL,http://www.openssl.org/source/license.html,deb,debian:bullseye:openssl:1.1.1n-0+deb11u1,deb://debian:bullseye:openssl,1.1.1n-0+deb11u1
debian:bullseye:p11-kit,"BSD,ISC",http://www.opensource.org/licenses/ISC,deb,debian:bullseye:p11-kit:0.23.22-1,deb://debian:bullseye:p11-kit,0.23.22-1
debian:bullseye:p11-kit-modules,"BSD,ISC",http://www.opensource.org/licenses/ISC,deb,debian:bullseye:p11-kit-modules:0.23.22-1,deb://debian:bullseye:p11-kit-modules,0.23.22-1
debian:bullseye:passwd,"BSD-3-Clause,TCP-wrappers","http://opensource.org/licenses/BSD-3-Clause,http://rc.quest.com/topics/openssh/license.php#tcpwrappers",deb,debian:bullseye:passwd:1:4.8.1-1,deb://debian:bullseye:passwd,1:4.8.1-1
debian:bullseye:perl-base,CC0-1.0,http://creativecommons.org/publicdomain/zero/1.0/,deb,debian:bullseye:perl-base:5.32.1-4+deb11u2,deb://debian:bullseye:perl-base,5.32.1-4+deb11u2
debian:bullseye:sed,GPL-3.0,http://www.gnu.org/licenses/gpl-3.0-standalone.html,deb,debian:bullseye:sed:4.7-1,deb://debian:bullseye:sed,4.7-1
debian:bullseye:sysvinit-utils,GPL-2.0,http://www.gnu.org/licenses/old-licenses/gpl-2.0-standalone.html,deb,debian:bullseye:sysvinit-utils:2.96-7+deb11u1,deb://debian:bullseye:sysvinit-utils,2.96-7+deb11u1
debian:bullseye:tar,GPL-3.0,http://www.gnu.org/licenses/gpl-3.0-standalone.html,deb,debian:bullseye:tar:1.34+dfsg-1,deb://debian:bullseye:tar,1.34+dfsg-1
debian:bullseye:tzdata,LicenseRef-jfrog-public-domain,,deb,debian:bullseye:tzdata:2021a-1+deb11u3,deb://debian:bullseye:tzdata,2021a-1+deb11u3
debian:bullseye:util-linux,"BSD,BSD-3-Clause,BSD-4-Clause-UC,MIT","http://opensource.org/licenses/BSD-3-Clause,http://www.freebsd.org/copyright/license.html,http://www.opensource.org/licenses/MIT",deb,debian:bullseye:util-linux:2.36.1-8+deb11u1,deb://debian:bullseye:util-linux,2.36.1-8+deb11u1
debian:bullseye:zlib1g,Zlib,http://www.opensource.org/licenses/Zlib,deb,debian:bullseye:zlib1g:1:1.2.11.dfsg-2+deb11u1,deb://debian:bullseye:zlib1g,1:1.2.11.dfsg-2+deb11u1
font-awesome,MIT,http://www.opensource.org/licenses/MIT,npm,font-awesome:4.7.0,npm://font-awesome,4.7.0
io.micrometer:micrometer-commons,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,io.micrometer:micrometer-commons:1.14.3,gav://io.micrometer:micrometer-commons,1.14.3
io.micrometer:micrometer-core,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,io.micrometer:micrometer-core:1.14.3,gav://io.micrometer:micrometer-core,1.14.3
io.micrometer:micrometer-jakarta9,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,io.micrometer:micrometer-jakarta9:1.14.3,gav://io.micrometer:micrometer-jakarta9,1.14.3
io.micrometer:micrometer-observation,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,io.micrometer:micrometer-observation:1.14.3,gav://io.micrometer:micrometer-observation,1.14.3
io.projectreactor:reactor-core,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,io.projectreactor:reactor-core:3.7.2,gav://io.projectreactor:reactor-core,3.7.2
io.smallrye:jandex,Apache-2.0,http://licenses.nuget.org/Apache-2.0,maven,io.smallrye:jandex:3.2.0,gav://io.smallrye:jandex,3.2.0
