Summary,CVEs,Severity,Jfrog Severity,Type,Provider,Component,Infected Version,Fix Version,Edited,Component Versions Id,CVSS v2,CVSS v3,Cwe,Id,Is Source Root,Source Comp Id,Source Id,Component Physical Paths,Applicability
GNU Libtasn1 before 4.19.0 has an ETYPE_OK off-by-one array size check that affects asn1_encode_simple_der.,CVE-2021-46848,Critical,Medium,security,JFrog,debian:bullseye:libtasn1-6,< 4.16.0-2+deb11u1,4.16.0-2+deb11u1,2023-06-04T16:26:00Z,debian:bullseye:libtasn1-6,,9.1/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:H,CWE-193,XRAY-259835,false,deb://debian:bullseye:libtasn1-6:4.16.0-2,deb://debian:bullseye:libtasn1-6,,Not Applicable
"In addition to the c_rehash shell command injection identified in CVE-2022-1292, further circumstances where the c_rehash script does not properly sanitise shell metacharacters to prevent command injection were found by code review. When the CVE-2022-1292 was fixed it was not discovered that there are other places in the script where the file names of certificates being hashed were possibly passed to a command executed through the shell. This script is distributed by some operating systems in a manner where it is automatically executed. On such operating systems, an attacker could execute arbitrary commands with the privileges of the script. Use of the c_rehash script is considered obsolete and should be replaced by the OpenSSL rehash command line tool. Fixed in OpenSSL 3.0.4 (Affected 3.0.0,3.0.1,3.0.2,3.0.3). Fixed in OpenSSL 1.1.1p (Affected 1.1.1-1.1.1o). Fixed in OpenSSL 1.0.2zf (Affected 1.0.2-1.0.2ze).",CVE-2022-2068,Critical,Medium,security,JFrog,debian:bullseye:openssl,< 1.1.1n-0+deb11u3,1.1.1n-0+deb11u3,2023-01-08T19:26:00Z,debian:bullseye:openssl,10.0/CVSS:2.0/AV:N/AC:L/Au:N/C:C/I:C/A:C,9.8/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-78,XRAY-229267,false,deb://debian:bullseye:openssl:1.1.1n-0+deb11u1,deb://debian:bullseye:openssl,,Not Applicable
"In addition to the c_rehash shell command injection identified in CVE-2022-1292, further circumstances where the c_rehash script does not properly sanitise shell metacharacters to prevent command injection were found by code review. When the CVE-2022-1292 was fixed it was not discovered that there are other places in the script where the file names of certificates being hashed were possibly passed to a command executed through the shell. This script is distributed by some operating systems in a manner where it is automatically executed. On such operating systems, an attacker could execute arbitrary commands with the privileges of the script. Use of the c_rehash script is considered obsolete and should be replaced by the OpenSSL rehash command line tool. Fixed in OpenSSL 3.0.4 (Affected 3.0.0,3.0.1,3.0.2,3.0.3). Fixed in OpenSSL 1.1.1p (Affected 1.1.1-1.1.1o). Fixed in OpenSSL 1.0.2zf (Affected 1.0.2-1.0.2ze).",CVE-2022-2068,Critical,Medium,security,JFrog,debian:bullseye:libssl1.1,< 1.1.1n-0+deb11u3,1.1.1n-0+deb11u3,2023-01-08T19:26:00Z,debian:bullseye:openssl,10.0/CVSS:2.0/AV:N/AC:L/Au:N/C:C/I:C/A:C,9.8/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-78,XRAY-229267,false,deb://debian:bullseye:openssl:1.1.1n-0+deb11u1,deb://debian:bullseye:libssl1.1,,Not Applicable
"The c_rehash script does not properly sanitise shell metacharacters to prevent command injection. This script is distributed by some operating systems in a manner where it is automatically executed. On such operating systems, an attacker could execute arbitrary commands with the privileges of the script. Use of the c_rehash script is considered obsolete and should be replaced by the OpenSSL rehash command line tool. Fixed in OpenSSL 3.0.3 (Affected 3.0.0,3.0.1,3.0.2). Fixed in OpenSSL 1.1.1o (Affected 1.1.1-1.1.1n). Fixed in OpenSSL 1.0.2ze (Affected 1.0.2-1.0.2zd).",CVE-2022-1292,Critical,Medium,security,JFrog,debian:bullseye:openssl,"0:1.0.2 ≤ Version < 0:1.0.2ze,0:1.1.1 ≤ Version < 1.1.1n-0+deb11u2,0:3.0.0 ≤ Version < 0:3.0.3",1.1.1n-0+deb11u2,2022-12-22T09:25:00Z,debian:bullseye:openssl,10.0/CVSS:2.0/AV:N/AC:L/Au:N/C:C/I:C/A:C,9.8/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-78,XRAY-209544,false,deb://debian:bullseye:openssl:1.1.1n-0+deb11u1,deb://debian:bullseye:openssl,,Not Applicable
"The c_rehash script does not properly sanitise shell metacharacters to prevent command injection. This script is distributed by some operating systems in a manner where it is automatically executed. On such operating systems, an attacker could execute arbitrary commands with the privileges of the script. Use of the c_rehash script is considered obsolete and should be replaced by the OpenSSL rehash command line tool. Fixed in OpenSSL 3.0.3 (Affected 3.0.0,3.0.1,3.0.2). Fixed in OpenSSL 1.1.1o (Affected 1.1.1-1.1.1n). Fixed in OpenSSL 1.0.2ze (Affected 1.0.2-1.0.2zd).",CVE-2022-1292,Critical,Medium,security,JFrog,debian:bullseye:libssl1.1,"0:1.0.2 ≤ Version < 0:1.0.2ze,0:1.1.1 ≤ Version < 1.1.1n-0+deb11u2,0:3.0.0 ≤ Version < 0:3.0.3",1.1.1n-0+deb11u2,2022-12-22T09:25:00Z,debian:bullseye:openssl,10.0/CVSS:2.0/AV:N/AC:L/Au:N/C:C/I:C/A:C,9.8/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-78,XRAY-209544,false,deb://debian:bullseye:openssl:1.1.1n-0+deb11u1,deb://debian:bullseye:libssl1.1,,Not Applicable
SQLite3 from 3.6.0 to and including 3.27.2 is vulnerable to heap out-of-bound read in the rtreenode() function when handling invalid rtree tables.,CVE-2019-8457,Critical,Low,security,JFrog,debian:bullseye:libdb5.3,All Versions,,2022-11-23T20:19:00Z,debian:bullseye:db5.3,7.5/CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:P/A:P,9.8/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,CWE-125,XRAY-83115,false,deb://debian:bullseye:libdb5.3:5.3.28+dfsg1-0.8,deb://debian:bullseye:libdb5.3,,Not Applicable
An out-of-bounds read vulnerability was discovered in the PCRE2 library in the get_recurse_data_length() function of the pcre2_jit_compile.c file. This issue affects recursions in JIT-compiled regular expressions caused by duplicate data transfers.,CVE-2022-1587,Critical,Low,security,JFrog,debian:bullseye:libpcre2-8-0,< 10.36-2+deb11u1,10.36-2+deb11u1,2023-01-08T19:25:00Z,debian:bullseye:pcre2,6.4/CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:N/A:P,9.1/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:H,CWE-125,XRAY-209686,false,deb://debian:bullseye:libpcre2-8-0:10.36-2,deb://debian:bullseye:libpcre2-8-0,,Not Applicable
An out-of-bounds read vulnerability was discovered in the PCRE2 library in the compile_xclass_matchingpath() function of the pcre2_jit_compile.c file. This involves a unicode property matching issue in JIT-compiled regular expressions. The issue occurs because the character was not fully read in case-less matching within JIT.,CVE-2022-1586,Critical,Low,security,JFrog,debian:bullseye:libpcre2-8-0,< 10.36-2+deb11u1,10.36-2+deb11u1,2023-01-08T19:25:00Z,debian:bullseye:pcre2,6.4/CVSS:2.0/AV:N/AC:L/Au:N/C:P/I:N/A:P,9.1/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:H,CWE-125,XRAY-209671,false,deb://debian:bullseye:libpcre2-8-0:10.36-2,deb://debian:bullseye:libpcre2-8-0,,Not Applicable
"Improper Neutralization of Escape, Meta, or Control Sequences vulnerability in Apache Tomcat. For a subset of unlikely rewrite rule configurations, it was possible 
for a specially crafted request to bypass some rewrite rules. If those 
rewrite rules effectively enforced security constraints, those 
constraints could be bypassed.

This issue affects Apache Tomcat: from 11.0.0-M1 through 11.0.5, from 10.1.0-M1 through 10.1.39, from 9.0.0.M1 through 9.0.102.

Users are recommended to upgrade to version [FIXED_VERSION], which fixes the issue.",CVE-2025-31651,Critical,,security,JFrog,org.apache.tomcat.embed:tomcat-embed-core,"10.1.10 ≤ Version < 10.1.40,11.0.0-M2 ≤ Version < 11.0.6,9.0.76 ≤ Version ≤ 9.0.102","10.1.40,11.0.6,9.0.104",0001-01-01T00:00:00Z,org.apache.tomcat.embed:tomcat-embed-core,,9.8/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:H/A:H,"CWE-116,CWE-150",XRAY-695198,false,gav://org.apache.tomcat.embed:tomcat-embed-core:10.1.34,gav://org.apache.tomcat.embed:tomcat-embed-core,"sha256__e4ff3aae9ce49045db764b3a0f6726c96355b1169a38c48c9488266c146585c6.tar.gz/usr/local/spring-petclinic/spring-petclinic-3.4.0-SNAPSHOT.jar/META-INF/sbom/application.cdx.json/org.springframework.samples:spring-petclinic:3.4.0-SNAPSHOT/gav:/org.apache.tomcat.embed:tomcat-embed-core:10.1.34/org.apache.tomcat.embed:tomcat-embed-core:10.1.34;
sha256__e4ff3aae9ce49045db764b3a0f6726c96355b1169a38c48c9488266c146585c6.tar.gz/usr/local/spring-petclinic/META-INF/sbom/application.cdx.json/org.springframework.samples:spring-petclinic:3.4.0-SNAPSHOT/gav:/org.apache.tomcat.embed:tomcat-embed-core:10.1.34/org.apache.tomcat.embed:tomcat-embed-core:10.1.34;
sha256__e4ff3aae9ce49045db764b3a0f6726c96355b1169a38c48c9488266c146585c6.tar.gz/usr/local/spring-petclinic/spring-petclinic-3.4.0-SNAPSHOT.jar/BOOT-INF/lib/tomcat-embed-core-10.1.34.jar",Not Applicable
"A vulnerability was found in GnuTLS. The response times to malformed ciphertexts in RSA-PSK ClientKeyExchange differ from the response times of ciphertexts with correct PKCS#1 v1.5 padding. This issue may allow a remote attacker to perform a timing side-channel attack in the RSA-PSK key exchange, potentially leading to the leakage of sensitive data. CVE-2024-0553 is designated as an incomplete resolution for CVE-2023-5981.",CVE-2024-0553,High,High,security,JFrog,debian:bullseye:libgnutls30,< 3.7.1-5+deb11u5,3.7.1-5+deb11u5,0001-01-01T00:00:00Z,debian:bullseye:gnutls28,,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,CWE-203,XRAY-588549,false,deb://debian:bullseye:libgnutls30:3.7.1-5,deb://debian:bullseye:libgnutls30,,Not Applicable
"A timing side-channel in the handling of RSA ClientKeyExchange messages was discovered in GnuTLS. This side-channel can be sufficient to recover the key encrypted in the RSA ciphertext across a network in a Bleichenbacher style attack. To achieve a successful decryption the attacker would need to send a large amount of specially crafted messages to the vulnerable server. By recovering the secret from the ClientKeyExchange message, the attacker would be able to decrypt the application data exchanged over that connection.",CVE-2023-0361,High,High,security,JFrog,debian:bullseye:libgnutls30,< 3.7.1-5+deb11u3,3.7.1-5+deb11u3,2023-05-11T13:04:00Z,debian:bullseye:gnutls28,,7.4/CVSS:3.1/AV:N/AC:H/PR:N/UI:N/S:U/C:H/I:H/A:N,CWE-203,XRAY-416941,false,deb://debian:bullseye:libgnutls30:3.7.1-5,deb://debian:bullseye:libgnutls30,,Not Applicable
"PAC parsing in MIT Kerberos 5 (aka krb5) before 1.19.4 and 1.20.x before 1.20.1 has integer overflows that may lead to remote code execution (in KDC, kadmind, or a GSS or Kerberos application server) on 32-bit platforms (which have a resultant heap-based buffer overflow), and cause a denial of service on other platforms. This occurs in krb5_pac_parse in lib/krb5/krb/pac.c. Heimdal before 7.7.1 has ""a similar bug.""",CVE-2022-42898,High,High,security,JFrog,debian:bullseye:libkrb5-3,< 1.18.3-6+deb11u3,1.18.3-6+deb11u3,2023-02-15T12:36:00Z,debian:bullseye:krb5,,8.8/CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,CWE-190,XRAY-261410,false,deb://debian:bullseye:libkrb5support0:1.18.3-6+deb11u1,deb://debian:bullseye:libkrb5-3,,Not Applicable
"PAC parsing in MIT Kerberos 5 (aka krb5) before 1.19.4 and 1.20.x before 1.20.1 has integer overflows that may lead to remote code execution (in KDC, kadmind, or a GSS or Kerberos application server) on 32-bit platforms (which have a resultant heap-based buffer overflow), and cause a denial of service on other platforms. This occurs in krb5_pac_parse in lib/krb5/krb/pac.c. Heimdal before 7.7.1 has ""a similar bug.""",CVE-2022-42898,High,High,security,JFrog,debian:bullseye:libgssapi-krb5-2,< 1.18.3-6+deb11u3,1.18.3-6+deb11u3,2023-02-15T12:36:00Z,debian:bullseye:krb5,,8.8/CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,CWE-190,XRAY-261410,false,deb://debian:bullseye:libkrb5support0:1.18.3-6+deb11u1,deb://debian:bullseye:libgssapi-krb5-2,,Not Applicable
"PAC parsing in MIT Kerberos 5 (aka krb5) before 1.19.4 and 1.20.x before 1.20.1 has integer overflows that may lead to remote code execution (in KDC, kadmind, or a GSS or Kerberos application server) on 32-bit platforms (which have a resultant heap-based buffer overflow), and cause a denial of service on other platforms. This occurs in krb5_pac_parse in lib/krb5/krb/pac.c. Heimdal before 7.7.1 has ""a similar bug.""",CVE-2022-42898,High,High,security,JFrog,debian:bullseye:libkrb5support0,< 1.18.3-6+deb11u3,1.18.3-6+deb11u3,2023-02-15T12:36:00Z,debian:bullseye:krb5,,8.8/CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,CWE-190,XRAY-261410,false,deb://debian:bullseye:libkrb5support0:1.18.3-6+deb11u1,deb://debian:bullseye:libkrb5support0,,Not Applicable
"PAC parsing in MIT Kerberos 5 (aka krb5) before 1.19.4 and 1.20.x before 1.20.1 has integer overflows that may lead to remote code execution (in KDC, kadmind, or a GSS or Kerberos application server) on 32-bit platforms (which have a resultant heap-based buffer overflow), and cause a denial of service on other platforms. This occurs in krb5_pac_parse in lib/krb5/krb/pac.c. Heimdal before 7.7.1 has ""a similar bug.""",CVE-2022-42898,High,High,security,JFrog,debian:bullseye:libk5crypto3,< 1.18.3-6+deb11u3,1.18.3-6+deb11u3,2023-02-15T12:36:00Z,debian:bullseye:krb5,,8.8/CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,CWE-190,XRAY-261410,false,deb://debian:bullseye:libkrb5support0:1.18.3-6+deb11u1,deb://debian:bullseye:libk5crypto3,,Not Applicable
"An arbitrary file write vulnerability was found in GNU gzip's zgrep utility. When zgrep is applied on the attacker's chosen file name (for example, a crafted file name), this can overwrite an attacker's content to an arbitrary attacker-selected file. This flaw occurs due to insufficient validation when processing filenames with two or more newlines where selected content and the target file names are embedded in crafted multi-line file names. This flaw allows a remote, low privileged attacker to force zgrep to write arbitrary files on the system.",CVE-2022-1271,High,High,security,JFrog,debian:bullseye:liblzma5,< 5.2.5-2.1~deb11u1,5.2.5-2.1~deb11u1,2023-02-15T12:36:00Z,debian:bullseye:xz-utils,,8.8/CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,CWE-20,XRAY-203376,false,deb://debian:bullseye:liblzma5:5.2.5-2,deb://debian:bullseye:liblzma5,,Not Applicable
"An arbitrary file write vulnerability was found in GNU gzip's zgrep utility. When zgrep is applied on the attacker's chosen file name (for example, a crafted file name), this can overwrite an attacker's content to an arbitrary attacker-selected file. This flaw occurs due to insufficient validation when processing filenames with two or more newlines where selected content and the target file names are embedded in crafted multi-line file names. This flaw allows a remote, low privileged attacker to force zgrep to write arbitrary files on the system.",CVE-2022-1271,High,High,security,JFrog,debian:bullseye:gzip,< 1.10-4+deb11u1,1.10-4+deb11u1,2023-02-15T12:36:00Z,debian:bullseye:gzip,,8.8/CVSS:3.1/AV:N/AC:L/PR:L/UI:N/S:U/C:H/I:H/A:H,CWE-20,XRAY-203376,false,deb://debian:bullseye:liblzma5:5.2.5-2,deb://debian:bullseye:gzip,,Not Applicable
CPAN 2.28 allows Signature Verification Bypass.,CVE-2020-16156,High,High,security,JFrog,debian:bullseye:perl-base,< 5.32.1-4+deb11u4,5.32.1-4+deb11u4,2023-02-25T21:26:00Z,debian:bullseye:perl,6.8/CVSS:2.0/AV:N/AC:M/Au:N/C:P/I:P/A:P,7.8/CVSS:3.1/AV:L/AC:L/PR:N/UI:R/S:U/C:H/I:H/A:H,CWE-347,XRAY-190762,false,deb://debian:bullseye:perl-base:5.32.1-4+deb11u2,deb://debian:bullseye:perl-base,,Not Applicable
"In MIT Kerberos 5 (aka krb5) before 1.21.3, an attacker can modify the plaintext Extra Count field of a confidential GSS krb5 wrap token, causing the unwrapped token to appear truncated to the application.",CVE-2024-37370,High,Medium,security,JFrog,debian:bullseye:libgssapi-krb5-2,< 1.18.3-6+deb11u5,1.18.3-6+deb11u5,0001-01-01T00:00:00Z,debian:bullseye:krb5,,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,NVD-CWE-noinfo,XRAY-607812,false,deb://debian:bullseye:libkrb5support0:1.18.3-6+deb11u1,deb://debian:bullseye:libgssapi-krb5-2,,Not Applicable
"In MIT Kerberos 5 (aka krb5) before 1.21.3, an attacker can modify the plaintext Extra Count field of a confidential GSS krb5 wrap token, causing the unwrapped token to appear truncated to the application.",CVE-2024-37370,High,Medium,security,JFrog,debian:bullseye:libkrb5-3,< 1.18.3-6+deb11u5,1.18.3-6+deb11u5,0001-01-01T00:00:00Z,debian:bullseye:krb5,,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,NVD-CWE-noinfo,XRAY-607812,false,deb://debian:bullseye:libkrb5support0:1.18.3-6+deb11u1,deb://debian:bullseye:libkrb5-3,,Not Applicable
"In MIT Kerberos 5 (aka krb5) before 1.21.3, an attacker can modify the plaintext Extra Count field of a confidential GSS krb5 wrap token, causing the unwrapped token to appear truncated to the application.",CVE-2024-37370,High,Medium,security,JFrog,debian:bullseye:libk5crypto3,< 1.18.3-6+deb11u5,1.18.3-6+deb11u5,0001-01-01T00:00:00Z,debian:bullseye:krb5,,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,NVD-CWE-noinfo,XRAY-607812,false,deb://debian:bullseye:libkrb5support0:1.18.3-6+deb11u1,deb://debian:bullseye:libk5crypto3,,Not Applicable
"In MIT Kerberos 5 (aka krb5) before 1.21.3, an attacker can modify the plaintext Extra Count field of a confidential GSS krb5 wrap token, causing the unwrapped token to appear truncated to the application.",CVE-2024-37370,High,Medium,security,JFrog,debian:bullseye:libkrb5support0,< 1.18.3-6+deb11u5,1.18.3-6+deb11u5,0001-01-01T00:00:00Z,debian:bullseye:krb5,,7.5/CVSS:3.1/AV:N/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,NVD-CWE-noinfo,XRAY-607812,false,deb://debian:bullseye:libkrb5support0:1.18.3-6+deb11u1,deb://debian:bullseye:libkrb5support0,,Not Applicable
